sentiment,emotion,summary
Neutral,No clear emotion,The statement is a question and does not express a clear emotion.
Neutral,No clear emotion,The statement is factual and does not express a clear emotion.
Neutral,No emotion detected,"The statement describes a physical reaction (fainting) and speechlessness, but doesn't convey a clear sentiment or emotion."
Neutral,Neutral,"Request for action, no emotion indicated."
Neutral,Neutral,"No emoticons provided, thus cannot determine an emotion."
Neutral,Neutral,"No emoticons provided, thus cannot determine an emotion."
Neutral,No emotion detected,This is the panda's task
Neutral,Neutral,"Pandawara passed by an 8-meter-long pit viper, report if it's blue. This is a neutral factual statement."
Neutral,No clear emotion,"Pandawara, please clean our river."
Neutral,No emotion detected,👍
Neutral,No clear emotion,"(No translation needed, it's an emoticon)"
Neutral,No clear emotion,Why is the comment like this? 🙂
Neutral,No clear emotion,Who's watching this on Friday night at 1 am?
Neutral,No clear emotion,This person is going to Medan because Sebesi is already clean.
Neutral,No clear emotion,"The statement is a factual observation, lacking emotional content."
Neutral,No clear emotion,"The statement is a factual observation, lacking emotional content."
Neutral,Happiness,"Thinking about the flowers made from animal carcasses in the river, where do they even come from? 😭😭😭😭"
Neutral,Neutral,Who's watching this late Friday night?
Neutral,Surprise,Is this comment serious? 😇
Neutral,Neutral,Pandawara can't go to Medan because Sebesi is already clean.
Neutral,No clear emotion,The thumbs-up emoji is generally positive but lacks emotional context.
Neutral,Neutral,"Pandawara, please clean our river."
Neutral,Neutral,Why is the comment like this? 😇
Neutral,No clear emotion,"Pandawara passed by an 8-meter Pit Viper, update if it's blue. - This statement is factual and doesn't express a clear positive, negative, or mixed emotion."
Neutral,Neutral,"Pandawara, please clean our river."
Neutral,No clear emotion,The statement is a question and does not express a clear emotion.
Neutral,No clear emotion,"The statement is a factual observation about a snake encounter, not expressing a clear emotion."
Neutral,Neutral,I can't go to Medan because Sebesi is already clean.
Neutral,Neutral,The comment is factual and lacks strong emotional content.
Neutral,No clear emotion,The statement is more of a factual observation than an emotional expression.
Neutral,None,This comment seems to be a general observation or statement rather than expressing a strong emotion or sentiment.
Neutral,Surprise,"The reviewer is surprised by the variety of comments, though no strong emotion is conveyed."
Neutral,None,This statement is more of a factual comment than an emotional expression.
Neutral,No emotion detected,(Review 1 is empty)
Neutral,None,"Who's watching this late Friday night, Kliwon?"
Neutral,None,Pandawara didn't go to Medan because Sebesi is already clean
Neutral,None,The friendship I wish for... 😔
Neutral,None,This is a factual statement and doesn't convey a strong emotion.
Neutral,None,"Pandawara passes an 8-meter Pit Viper, report if it's blue"
Neutral,None,I can't imagine how the smell would be
Neutral,None,This comment is more of a personal craving than an emotional expression.
Neutral,No clear emotion,"""He's just doing his job, pandawara"" is a neutral statement, neither positive nor negative."
Neutral,No clear emotion,"""Don't shut down your dog, it can still be seen"" is a neutral, instructional statement."
Neutral,No clear emotion,"This is a question about viewing habits, not an emotional statement."
Neutral,No clear emotion,The review is a question and doesn't express a strong emotion.
Neutral,No clear emotion,This statement is factual and doesn't express a strong emotion.
Neutral,Neutral,"The thumbs-up emoji suggests approval, but lacks strong emotion."
Neutral,No emotion detected,"Pandawara, please clean the dirty dishes in my house 🙏."
Neutral,No emotion detected,Who's watching this late on Friday night?
Neutral,No emotion detected,"Pandawara was passed by an 8-meter python, report if it's blue."
Neutral,Neither joy nor sadness,"In Indonesia, there are many people who don't understand how to differentiate trash, how can they understand otherwise, just throwing it away randomly."
Neutral,Neither joy nor sadness,"Who's watching this late Friday night, 1 Suro?"
Neutral,Neither joy nor sadness,Pandawara didn't go to Medan because Sebesi is already clean
Neutral,Neutral,The comment is vague and lacks strong emotional content.
Neutral,Neutral,Why is your comment like this? 🙂
Neutral,Surprise,"""You're the one who's going to bury me, I caught my breath 😷"" shows surprise, but lacks a clear positive or negative sentiment."
Neutral,No clear emotion,The statement is a question and doesn't convey a strong emotion.
Neutral,Neutral,"The comment questions the motives behind certain reactions, lacking a clear emotional tone."
Neutral,Surprise,The question about blood vomit suggests surprise or confusion.
Neutral,No clear emotion,A thumbs up is generally a positive gesture but lacks emotional depth.
Neutral,Neutral,"The comment is a polite request for clarity, lacking strong emotional tone."
Neutral,Neutral,"The comment is a direct instruction to Pandawara, lacking emotional tone."
Neutral,No clear emotion,This statement seems to be a logical deduction rather than expressing an emotion.
Neutral,Disgust,"The comment expresses confusion and disapproval, but doesn't convey a clear positive or negative sentiment."
Neutral,No clear emotion,Why does their comment have to be like that?
Neutral,None,"Her spirit is a wandering one, isn't it 🙄"
Neutral,No clear emotion,"Seems like Pandawara is the grandfather, just keep an eye on the comment."
Neutral,None,Why isn't the grave square?
Neutral,Neutral,"This country is so spicy, indeed, showing a neutral statement about the country's situation."
Neutral,Neutral,"Why does her comment start like this, 🙂, showing a neutral reaction."
Neutral,None,👍
Neutral,Surprise,Why are the comments like this?
Neutral,Confusion,"Must've been mistaken, right? The comment needs to be corrected."
Neutral,Neutral,"The comment doesn't convey a clear positive, negative, or mixed sentiment. It's a statement of observation."
Neutral,Request,"Pandawara, please clean our river."
Neutral,Surprise,Why are the comments like this?🙂
Neutral,Neutral,"The comment is ambiguous and doesn't clearly express a positive, negative, or mixed sentiment."
Neutral,Neutral,"The comment is a question and doesn't convey a clear positive, negative, or mixed sentiment."
Neutral,No significant emotion,"The review is an explanation, not expressing a clear emotion."
Neutral,No significant emotion,"The review is a question, lacking strong emotional content."
Neutral,Confusion,"The comment seems puzzled or perplexed, though it doesn't fit exactly into Ekman's model."
Neutral,No significant emotion,"The review is a request for care, without strong emotional connotation."
Neutral,Neutral,The thumbs-up emoji is generally positive but doesn't provide context for a specific sentiment.
Neutral,Disgust,"The comment expresses confusion and disapproval, similar to Review 1."
Neutral,No clear emotion,This statement seems to be a setup for a joke or a situation rather than expressing an emotion.
Neutral,Neutral,Report if it's blue
Neutral,No clear emotion,Please appreciate Pandawara so we don't litter randomly.
Neutral,Curiosity,"""I'm sure they were killed, not just died. If they died, they'd usually be burned. If not buried, it was probably intentional"" expresses curiosity and speculation."
Neutral,Disbelief,"""Oh my, that comment 😩😩"" shows surprise or disbelief."
Neutral,Neutral,"""There are so many who are so straightforward"" lacks a clear positive or negative sentiment."
Neutral,None,@din
Neutral,Informative,This is a directive rather than an emotional review.
Neutral,Neutral,"Why is their comment like this, huh? 🙂 (Neutral, as the emoticon doesn't clearly indicate a specific emotion)"
Neutral,Neutral,"Please appreciate Pandawara so we don't litter randomly (Neutral, as it's a request without a clear emotional tone)"
Neutral,Neutral,"Why is their comment like that? (Neutral, as it's a question without expressing a clear emotion)"
Neutral,Neutral,Is that blood-vomitting?
Neutral,Neutral,"I'm sure her angel was killed, not died. Usually, if someone dies, they're burned or buried. If not buried, it must have been intentional."
Neutral,Neutral,"This review is neutral, simply asking a question without expressing any strong emotion."
